Country,year,num_conflicts,avg_intensity,max_intensity,avg_duration,total_duration,conflict_type_count,has_territory_conflict,has_government_conflict,has_both_conflict,conflicts_past_3years,intensity_past_3years
Central African Republic,2023,2,1,1,,0,1,1,1,0,1.333333333,1
Chad,1966,1,1,1,,0,1,0,1,0,1,1
Chad,1967,1,1,1,,0,1,0,1,0,1,1
Chad,1968,1,1,1,,0,1,0,1,0,1,1
Chad,1969,1,1,1,,0,1,0,1,0,1,1
Chad,1970,1,1,1,,0,1,0,1,0,1,1
Chad,1971,1,1,1,,0,1,0,1,0,1,1
Chad,1972,1,1,1,2308,2308,1,0,1,0,1,1
Chad,1976,1,1,1,,0,1,0,1,0,1,1
Chad,1977,1,1,1,,0,1,0,1,0,1,1
Chad,1978,1,2,2,,0,1,0,1,0,1,1.333333333
Chad,1979,1,2,2,,0,1,0,1,0,1,1.666666667
Chad,1980,1,2,2,,0,1,0,1,0,1,2
Chad,1981,1,1,1,,0,1,0,1,0,1,1.666666667
Chad,1982,1,1,1,,0,1,0,1,0,1,1.333333333
Chad,1983,1,1,1,,0,1,0,1,0,1,1
Chad,1984,1,1,1,3239,3239,1,0,1,0,1,1
Chad,1986,1,1,1,,0,1,0,1,0,1,1
Chad,1987,1,2,2,305,305,1,0,1,0,1,1.333333333
Chad,1989,1,1,1,,0,1,0,1,0,1,1.333333333
Chad,1990,1,2,2,,0,1,0,1,0,1,1.666666667
Chad,1991,1,1,1,,0,1,0,1,0,1,1.333333333
Chad,1992,1,1,1,,0,1,0,1,0,1,1.333333333
Chad,1993,1,1,1,,0,1,0,1,0,1,1
Chad,1994,1,1,1,2129,2129,1,0,1,0,1,1
Chad,1997,1,1,1,,0,1,0,1,0,1,1
Chad,1998,1,1,1,,0,1,0,1,0,1,1
Chad,1999,1,1,1,,0,1,0,1,0,1,1
Chad,2000,1,2,2,,0,1,0,1,0,1,1.333333333
Chad,2001,1,1,1,,0,1,0,1,0,1,1.333333333
Chad,2002,1,1,1,,0,1,0,1,0,1,1.333333333
Chad,2003,1,1,1,2236,2236,1,0,1,0,1,1
Chad,2005,1,1,1,,0,1,0,1,0,1,1
Chad,2006,1,2,2,,0,1,0,1,0,1,1.333333333
Chad,2007,1,1,1,,0,1,0,1,0,1,1.333333333
Chad,2008,1,1,1,,0,1,0,1,0,1,1.333333333
Chad,2009,1,1,1,,0,1,0,1,0,1,1
Chad,2010,1,1,1,1592,1592,1,0,1,0,1,1
Chad,2015,1,1,1,158,158,1,1,0,0,1,1
Chad,2017,1,1,1,,0,1,1,0,0,1,1
Chad,2018,2,1,1,33,33,1,1,1,0,1.333333333,1
Chad,2019,1,1,1,,0,1,1,0,0,1.333333333,1
Chad,2020,2,1,1,,0,1,1,1,0,1.666666667,1
Chad,2021,2,1,1,436,436,1,1,1,0,1.666666667,1
Chad,2022,1,1,1,2027,2027,1,1,0,0,1.666666667,1
Chad,2023,1,1,1,,0,1,0,1,0,1.333333333,1
"Chad, Libya",1987,1,2,2,35,35,1,1,0,0,1,2
"Chad, Nigeria",1983,1,1,1,191,191,1,1,0,0,1,1
Chile,1973,1,1,1,0,0,1,0,1,0,1,1
China,1946,1,2,2,,0,1,0,1,0,1,2
China,1947,2,2,2,24,24,1,1,1,0,1.5,2
China,1948,1,2,2,,0,1,0,1,0,1.333333333,2
China,1949,1,2,2,1073,1073,1,0,1,0,1.333333333,2
China,1950,1,1,1,2,2,1,1,0,0,1,1.666666667
China,1956,1,2,2,214,214,1,1,0,0,1,1.666666667
China,1959,1,2,2,44,44,1,1,0,0,1,1.666666667
China,2008,1,1,1,19,19,1,1,0,0,1,1.666666667
"China, India",1962,1,2,2,0,0,1,1,0,0,1,2
"China, India",1967,1,1,1,334,334,1,1,0,0,1,1.5
"China, India",2020,1,1,1,0,0,1,1,0,0,1,1.333333333
"China, Myanmar (Burma)",1969,1,1,1,306,306,1,1,0,0,1,1
"China, Russia (Soviet Union)",1969,1,1,1,304,304,1,1,0,0,1,1
"China, Taiwan",1949,1,2,2,,0,1,0,0,1,1,2
"China, Taiwan",1950,1,1,1,426,426,1,0,0,1,1,1.5
"China, Taiwan",1954,1,2,2,0,0,1,0,0,1,1,1.666666667
"China, Taiwan",1958,1,2,2,0,0,1,0,0,1,1,1.666666667
"China, Vietnam (North Vietnam)",1974,1,1,1,345,345,1,1,0,0,1,1
"China, Vietnam (North Vietnam)",1978,1,1,1,,0,1,1,0,0,1,1
"China, Vietnam (North Vietnam)",1979,1,2,2,,0,1,1,0,0,1,1.333333333
"China, Vietnam (North Vietnam)",1980,1,1,1,,0,1,1,0,0,1,1.333333333
"China, Vietnam (North Vietnam)",1981,1,1,1,1096,1096,1,1,0,0,1,1.333333333
"China, Vietnam (North Vietnam)",1983,1,1,1,,0,1,1,0,0,1,1
"China, Vietnam (North Vietnam)",1984,1,1,1,366,366,1,1,0,0,1,1
"China, Vietnam (North Vietnam)",1986,1,1,1,,0,1,1,0,0,1,1
"China, Vietnam (North Vietnam)",1987,1,1,1,,0,1,1,0,0,1,1
"China, Vietnam (North Vietnam)",1988,1,1,1,731,731,1,1,0,0,1,1
Colombia,1964,1,1,1,,0,1,0,1,0,1,1
Colombia,1965,1,1,1,,0,1,0,1,0,1,1
Colombia,1966,1,1,1,,0,1,0,1,0,1,1
Colombia,1967,1,1,1,,0,1,0,1,0,1,1
Colombia,1968,1,1,1,,0,1,0,1,0,1,1
Colombia,1969,1,1,1,,0,1,0,1,0,1,1
Colombia,1970,1,1,1,,0,1,0,1,0,1,1
Colombia,1971,1,1,1,,0,1,0,1,0,1,1
Colombia,1972,1,1,1,,0,1,0,1,0,1,1
Colombia,1973,1,1,1,,0,1,0,1,0,1,1
Colombia,1974,1,1,1,,0,1,0,1,0,1,1
Colombia,1975,1,1,1,,0,1,0,1,0,1,1
Colombia,1976,1,1,1,,0,1,0,1,0,1,1
Colombia,1977,1,1,1,,0,1,0,1,0,1,1
Colombia,1978,1,1,1,,0,1,0,1,0,1,1
Colombia,1979,1,1,1,,0,1,0,1,0,1,1
Colombia,1980,1,1,1,,0,1,0,1,0,1,1
Colombia,1981,1,1,1,,0,1,0,1,0,1,1
Colombia,1982,1,1,1,,0,1,0,1,0,1,1
Colombia,1983,1,1,1,,0,1,0,1,0,1,1
Colombia,1984,1,1,1,,0,1,0,1,0,1,1
Colombia,1985,1,2,2,,0,1,0,1,0,1,1.333333333
Colombia,1986,1,1,1,,0,1,0,1,0,1,1.333333333
Colombia,1987,1,1,1,,0,1,0,1,0,1,1.333333333
Colombia,1988,1,1,1,,0,1,0,1,0,1,1
Colombia,1989,1,1,1,,0,1,0,1,0,1,1
Colombia,1990,1,1,1,,0,1,0,1,0,1,1
Colombia,1991,1,1,1,,0,1,0,1,0,1,1
Colombia,1992,1,2,2,,0,1,0,1,0,1,1.333333333
Colombia,1993,1,1,1,,0,1,0,1,0,1,1.333333333
